episode,step,x,y,theta,goal_x,goal_y,obs_x,obs_y,obs_vx,obs_vy,obs_radius,action_v,action_w,reached,collision
0,0,-1.8999656438827515,-0.68839031457901,2.4688844680786133,2.1920406818389893,0.8309709429740906,-0.5842151045799255,-0.3278258144855499,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.99903667,-0.9874213,0.0,0.0
0,1,-1.9713749885559082,-0.6191793084144592,2.3718268871307373,2.1920406818389893,0.8309709429740906,-0.5652602910995483,-0.3270329535007477,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9944578,-0.9705755,0.0,0.0
0,2,-2.0355570316314697,-0.5433311462402344,2.2730746269226074,2.1920406818389893,0.8309709429740906,-0.5463054776191711,-0.32624009251594543,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9935934,-0.9875237,0.0,0.0
0,3,-2.092158317565918,-0.4610002636909485,2.173074722290039,2.1920406818389893,0.8309709429740906,-0.527350664138794,-0.3254472315311432,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.999104,-1.0013427,0.0,0.0
0,4,-2.139660120010376,-0.37477242946624756,2.0743207931518555,2.1920406818389893,0.8309709429740906,-0.5083958506584167,-0.32465437054634094,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9844625,-0.98753875,0.0,0.0
0,5,-2.1789262294769287,-0.28280413150787354,1.9743207693099976,2.1920406818389893,0.8309709429740906,-0.48944100737571716,-0.3238615095615387,0.1895483285188675,0.007928471080958843,0.15613657697651534,1.0047051,-1.0358258,0.0,0.0
0,6,-2.208112955093384,-0.18961620330810547,1.8743207454681396,2.1920406818389893,0.8309709429740906,-0.4704861640930176,-0.32306864857673645,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9765168,-1.0306462,0.0,0.0
0,7,-2.228325128555298,-0.09168017655611038,1.7743207216262817,2.1920406818389893,0.8309709429740906,-0.451531320810318,-0.3222757875919342,0.1895483285188675,0.007928471080958843,0.15613657697651534,1.0163167,-1.0658082,0.0,0.0
0,8,-2.238710403442383,0.006494604051113129,1.676187515258789,2.1920406818389893,0.8309709429740906,-0.4325764775276184,-0.32148292660713196,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9872255,-0.9813319,0.0,0.0
0,9,-2.239452838897705,0.10482834279537201,1.5783451795578003,2.1920406818389893,0.8309709429740906,-0.4136216342449188,-0.3206900656223297,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9833654,-0.9784234,0.0,0.0
0,10,-2.230428695678711,0.20215900242328644,1.4783451557159424,2.1920406818389893,0.8309709429740906,-0.39466679096221924,-0.31989720463752747,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.977481,-1.0067301,0.0,0.0
0,11,-2.2115795612335205,0.29960668087005615,1.3797266483306885,2.1920406818389893,0.8309709429740906,-0.37571194767951965,-0.3191043436527252,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9925392,-0.98618495,0.0,0.0
0,12,-2.1830332279205322,0.3948952555656433,1.2797266244888306,2.1920406818389893,0.8309709429740906,-0.35675710439682007,-0.318311482667923,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9947263,-1.0538822,0.0,0.0
0,13,-2.1449570655822754,0.4872446656227112,1.1797266006469727,2.1920406818389893,0.8309709429740906,-0.3378022611141205,-0.3175186216831207,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.99891,-1.0244852,0.0,0.0
0,14,-2.0979418754577637,0.5751625299453735,1.0797265768051147,2.1920406818389893,0.8309709429740906,-0.3188474178314209,-0.3167257606983185,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.99699485,-1.0297242,0.0,0.0
0,15,-2.042623519897461,0.6575912237167358,0.9797265529632568,2.1920406818389893,0.8309709429740906,-0.2998925745487213,-0.31593289971351624,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9927041,-1.027922,0.0,0.0
0,16,-1.9793736934661865,0.7340596318244934,0.8797265291213989,2.1920406818389893,0.8309709429740906,-0.28093773126602173,-0.315140038728714,0.1895483285188675,0.007928471080958843,0.15613657697651534,0.9923684,-1.0263371,0.0,0.0
